S/N,Manufacturer,Name,Type,Unit(Dose),Constituents/Unit,Package unit,Price(In Rs.),Price/Unit (In Rs.)
1,Gracure Pharmaceuticals Ltd.,Ascorbic Acid (100 mg) (Gracure Pharma),Tablet    ,1 Tablet,Ascorbic Acid-100 mg,10 Tablet,1.69,0.17
2,Glaxo Smithkline Pharmaceuticals Ltd.,Celin (100 mg),Tablet    ,1 Tablet,Vit C-100 mg,1000 Tablet,169.16,0.17
3,Abbott Healthcare Pvt Ltd (AHPL),Cell C (100 mg),Tablet    ,1 Tablet,Vit C-100 mg,10 Tablet,1.71,0.17
4,Acichem Laboratories,Vitamin C (100 mg),Tablet    ,1 Tablet,Vit C-100 mg,1000 Tablet,350,0.35
5,Modern Laboratories,Ascorbic Acid (100 mg),Tablet    ,1 Tablet,Ascorbic Acid-100 mg,10 Tablet,4,0.4
6,Sunways India Pvt. Ltd.,Ascorbin (30 ml),Drop    ,1 ml,Vit C-100 mg,30 ml,3.25,0.11
7,Pfizer Limited (Pharmacia India Pvt Ltd),Cecon (30 ml),Drop    ,1 ml,Ascorbic Acid-100 mg,30 ml,12.52,0.42
8,Abbott India Ltd.,Cecon (15 ml),Drop    ,1 ml,Vit C-100 mg,15 ml,12.73,0.85
9,Stanmark Pharmaceuticals,Pedivit C (15 ml),Drop    ,1 ml,Ascorbic Acid-100 mg,15 ml,22,1.47
10,SPM Drugs Pvt. Ltd.,Malano (500 mg),Injection    ,1 ml,Ascorbic Acid-100 mg,5 ml,2.65,0.53
11,Shalina Laboratories Ltd,Cevite (500 mg),Injection    ,1 ml,Ascorbic Acid-100 mg,5 ml,5,1
12,Tablets (India) Limited,Tildoxon (500 mg),Injection    ,1 ml,Ascorbic Acid-100 mg,5 ml,6.4,1.28
1,Cyper Pharma,Cipalgin (500 mg),Tablet    ,1 Tablet,Analgin-500 mg,10 Tablet,5.7,0.57
2,Sanofi Aventis,Baralgan M (500 mg),Tablet    ,1 Tablet,Dipyrone (Metamizol)-500 mg,10 Tablet,7.55,0.76
3,Sun Pharmaceutical Industries Ltd.,Metnimez (500 mg),Tablet    ,1 Tablet,Dipyrone (Metamizol)-500 mg,10 Tablet,25,2.5
4,SPM Drugs Pvt. Ltd.,Pyregin (15 gm),Injection    ,1 ml,Analgin-500 mg,30 ml,22,0.73
5,Oboi Laboratories (Ciron Drugs & Pharmaceuticals Pvt Ltd),Obralgin (15 gm),Injection    ,1 ml,Analgin-500 mg,30 ml,23,0.77
6,Wyeth Ltd.,Ultragin (15 gm),Injection    ,1 ml,Dipyrone (Metamizol)-500 mg,30 ml,24.08,0.8
7,SPM Drugs Pvt. Ltd.,Pyregin (2.5 gm),Injection    ,1 ml,Analgin-500 mg,5 ml,4.5,0.9
8,Tribhawan Injectables,Algin (15 gm),Injection    ,1 ml,Analgin-500 mg,30 ml,28.32,0.94
9,Sanofi Aventis,Baralgan M (1000 mg),Injection    ,1 ml,Dipyrone (Metamizol)-500 mg,2 ml,3.34,1.67
10,SPM Drugs Pvt. Ltd.,Pyregin (1 gm),Injection    ,1 ml,Analgin-500 mg,2 ml,3.5,1.75
11,Wyeth Ltd.,Ultragin (1000 mg),Injection    ,1 ml,Dipyrone (Metamizol)-500 mg,2 ml,3.55,1.78
12,Tribhawan Injectables,Algin (1 gm),Injection    ,1 ml,Analgin-500 mg,2 ml,4.52,2.26
13,Alpa Laboratories Ltd,Alpagin (500 mg),Injection    ,1 ml,Analgin-500 mg,1 ml,24,24
1,Cyper Pharma,Cipalgin (500 mg),Tablet    ,1 Tablet,Analgin-500 mg,10 Tablet,5.7,0.57
2,Sanofi Aventis,Baralgan M (500 mg),Tablet    ,1 Tablet,Dipyrone (Metamizol)-500 mg,10 Tablet,7.55,0.76
3,Sun Pharmaceutical Industries Ltd.,Metnimez (500 mg),Tablet    ,1 Tablet,Dipyrone (Metamizol)-500 mg,10 Tablet,25,2.5
4,SPM Drugs Pvt. Ltd.,Pyregin (15 gm),Injection    ,1 ml,Analgin-500 mg,30 ml,22,0.73
5,Oboi Laboratories (Ciron Drugs & Pharmaceuticals Pvt Ltd),Obralgin (15 gm),Injection    ,1 ml,Analgin-500 mg,30 ml,23,0.77
6,Wyeth Ltd.,Ultragin (15 gm),Injection    ,1 ml,Dipyrone (Metamizol)-500 mg,30 ml,24.08,0.8
7,SPM Drugs Pvt. Ltd.,Pyregin (2.5 gm),Injection    ,1 ml,Analgin-500 mg,5 ml,4.5,0.9
8,Tribhawan Injectables,Algin (15 gm),Injection    ,1 ml,Analgin-500 mg,30 ml,28.32,0.94
9,Sanofi Aventis,Baralgan M (1000 mg),Injection    ,1 ml,Dipyrone (Metamizol)-500 mg,2 ml,3.34,1.67
10,SPM Drugs Pvt. Ltd.,Pyregin (1 gm),Injection    ,1 ml,Analgin-500 mg,2 ml,3.5,1.75
11,Wyeth Ltd.,Ultragin (1000 mg),Injection    ,1 ml,Dipyrone (Metamizol)-500 mg,2 ml,3.55,1.78
12,Tribhawan Injectables,Algin (1 gm),Injection    ,1 ml,Analgin-500 mg,2 ml,4.52,2.26
13,Alpa Laboratories Ltd,Alpagin (500 mg),Injection    ,1 ml,Analgin-500 mg,1 ml,24,24
1,Cyper Pharma,Cipalgin (500 mg),Tablet    ,1 Tablet,Analgin-500 mg,10 Tablet,5.7,0.57
2,Sanofi Aventis,Baralgan M (500 mg),Tablet    ,1 Tablet,Dipyrone (Metamizol)-500 mg,10 Tablet,7.55,0.76
3,Sun Pharmaceutical Industries Ltd.,Metnimez (500 mg),Tablet    ,1 Tablet,Dipyrone (Metamizol)-500 mg,10 Tablet,25,2.5
4,SPM Drugs Pvt. Ltd.,Pyregin (15 gm),Injection    ,1 ml,Analgin-500 mg,30 ml,22,0.73
5,Oboi Laboratories (Ciron Drugs & Pharmaceuticals Pvt Ltd),Obralgin (15 gm),Injection    ,1 ml,Analgin-500 mg,30 ml,23,0.77
6,Wyeth Ltd.,Ultragin (15 gm),Injection    ,1 ml,Dipyrone (Metamizol)-500 mg,30 ml,24.08,0.8
7,SPM Drugs Pvt. Ltd.,Pyregin (2.5 gm),Injection    ,1 ml,Analgin-500 mg,5 ml,4.5,0.9
8,Tribhawan Injectables,Algin (15 gm),Injection    ,1 ml,Analgin-500 mg,30 ml,28.32,0.94
9,Sanofi Aventis,Baralgan M (1000 mg),Injection    ,1 ml,Dipyrone (Metamizol)-500 mg,2 ml,3.34,1.67
10,SPM Drugs Pvt. Ltd.,Pyregin (1 gm),Injection    ,1 ml,Analgin-500 mg,2 ml,3.5,1.75
11,Wyeth Ltd.,Ultragin (1000 mg),Injection    ,1 ml,Dipyrone (Metamizol)-500 mg,2 ml,3.55,1.78
12,Tribhawan Injectables,Algin (1 gm),Injection    ,1 ml,Analgin-500 mg,2 ml,4.52,2.26
13,Alpa Laboratories Ltd,Alpagin (500 mg),Injection    ,1 ml,Analgin-500 mg,1 ml,24,24
1,Cyper Pharma,Cipalgin (500 mg),Tablet    ,1 Tablet,Analgin-500 mg,10 Tablet,5.7,0.57
2,Sanofi Aventis,Baralgan M (500 mg),Tablet    ,1 Tablet,Dipyrone (Metamizol)-500 mg,10 Tablet,7.55,0.76
3,Sun Pharmaceutical Industries Ltd.,Metnimez (500 mg),Tablet    ,1 Tablet,Dipyrone (Metamizol)-500 mg,10 Tablet,25,2.5
4,SPM Drugs Pvt. Ltd.,Pyregin (15 gm),Injection    ,1 ml,Analgin-500 mg,30 ml,22,0.73
5,Oboi Laboratories (Ciron Drugs & Pharmaceuticals Pvt Ltd),Obralgin (15 gm),Injection    ,1 ml,Analgin-500 mg,30 ml,23,0.77
6,Wyeth Ltd.,Ultragin (15 gm),Injection    ,1 ml,Dipyrone (Metamizol)-500 mg,30 ml,24.08,0.8
7,SPM Drugs Pvt. Ltd.,Pyregin (2.5 gm),Injection    ,1 ml,Analgin-500 mg,5 ml,4.5,0.9
8,Tribhawan Injectables,Algin (15 gm),Injection    ,1 ml,Analgin-500 mg,30 ml,28.32,0.94
9,Sanofi Aventis,Baralgan M (1000 mg),Injection    ,1 ml,Dipyrone (Metamizol)-500 mg,2 ml,3.34,1.67
10,SPM Drugs Pvt. Ltd.,Pyregin (1 gm),Injection    ,1 ml,Analgin-500 mg,2 ml,3.5,1.75
11,Wyeth Ltd.,Ultragin (1000 mg),Injection    ,1 ml,Dipyrone (Metamizol)-500 mg,2 ml,3.55,1.78
12,Tribhawan Injectables,Algin (1 gm),Injection    ,1 ml,Analgin-500 mg,2 ml,4.52,2.26
13,Alpa Laboratories Ltd,Alpagin (500 mg),Injection    ,1 ml,Analgin-500 mg,1 ml,24,24
1,Cosme Farma Laboratories Ltd (CFL Pharmaceuticals Ltd),Mazoral (75 mg),Tablet    ,1 Tablet,Aspirin-75 mg,10 Tablet,1.75,0.18
2,Aronex Life Sciences Pvt. Ltd.,CV Sprin (75 mg) (Aronex),Tablet    ,1 Tablet,Aspirin-75 mg,10 Tablet,1.94,0.19
3,Cadila Pharmaceuticals Ltd.,Cv Sprin (75 mg),Tablet    ,1 Tablet,Aspirin-75 mg,10 Tablet,1.94,0.19
4,Intas Pharmaceuticals Ltd.,Sprintas (75 mg),Tablet    ,1 Tablet,Acetyl Salicylic Acid-75 mg,28 Tablet,5.72,0.2
5,Comed Chemicals Pvt Ltd,Asicom (75 mg),Tablet    ,1 Tablet,Aspirin-75 mg,140 Tablet,30,0.21
6,Unisearch (Unichem Laboratories),Loprin (75 mg),Tablet    ,1 Tablet,Aspirin-75 mg,14 Tablet,3.62,0.26
7,Cardicare (Micro Labs Ltd),Ascad (75 mg),Tablet    ,1 Tablet,Aspirin-75 mg,14 Tablet,3.68,0.26
8,Aristo Pharmaceuticals Pvt Ltd.,Delisprin (75 mg),Tablet    ,1 Tablet,Aspirin-75 mg,14 Tablet,3.77,0.27
9,USV Limited,Ecospirin (75 mg),Tablet    ,1 Tablet,Aspirin-75 mg,14 Tablet,3.78,0.27
10,Three Dots Lifesciences,Aspidot (75 mg),Tablet    ,1 Tablet,Aspirin-75 mg,10 Tablet,2.73,0.27
11,Zydus Medica (Zydus Cadila Healthcare Ltd),ASA (75 mg),Tablet    ,1 Tablet,Aspirin-75 mg,14 Tablet,3.86,0.28
12,Alkem Laboratories Ltd,Sprin (75 mg),Tablet    ,1 Tablet,Aspirin-75 mg,14 Tablet,3.91,0.28
13,USV-Corvette (US Vitamins Ltd),Ecosprin (75 mg),Tablet    ,1 Tablet,Aspirin-75 mg,14 Tablet,4.12,0.29
14,Low Cost Standard Therapeutics (LOCOST),Aspirin (75 mg),Tablet    ,1 Tablet,Aspirin-75 mg,10 Tablet,3,0.3
15,Emcure Pharmaceuticals Ltd.,Nusprin (75 mg),Tablet    ,1 Tablet,Aspirin-75 mg,10 Tablet,3.91,0.39
16,Astra Zeneca Pharma India Limited,LDA (75 mg),Tablet    ,1 Tablet,Aspirin-75 mg,14 Tablet,7,0.5
17,Astra Zeneca Pharma India Limited,Low Dose Aspirin (75 mg),Tablet    ,1 Tablet,Aspirin-75 mg,14 Tablet,7.4,0.53
18,Astra Zeneca Pharma India Limited,Dispersible (75 mg),Tablet    ,1 Tablet,Aspirin-75 mg,14 Tablet,7.81,0.56
19,Shreya Life Sciences Pvt. Ltd,Optaz (75 mg),Tablet    ,1 Tablet,Aspirin-75 mg,14 Tablet,8.47,0.61
20,Medley Pharmaceuticals Ltd.,Zosprin (75 mg),Tablet    ,1 Tablet,Aspirin-75 mg,10 Tablet,6.5,0.65
21,Maitri Healthcare Pvt. Ltd.,M Spirin (75 mg),Tablet    ,1 Tablet,Aspirin-75 mg,100 Tablet,67,0.67
22,Lincoln Pharmaceuticals Ltd,Alpyrin (75 mg),Tablet    ,1 Tablet,Aspirin-75 mg,10 Tablet,8.5,0.85
23,Mano (Orchid Chemicals & Pharmaceuticals Ltd.),Manospirin ER (75 mg),Tablet    ,1 Tablet,Aspirin-75 mg,10 Tablet,13.3,1.33
24,Torrent Pharmaceuticals Ltd.,Vasoprin (75 mg),Tablet    ,1 Tablet,Aspirin-75 mg,10 Tablet,42.5,4.25
1,Morepen Laboratories Ltd.,Tinyspirin (80 mg),Tablet    ,1 Tablet,Aspirin-80 mg,10 Tablet,2,0.2
2,Concept Pharmaceuticals Ltd.,Aspicot (80 mg),Tablet    ,1 Tablet,Aspirin-80 mg,14 Tablet,7.7,0.55
1,Emcure Pharmaceuticals Ltd.,Nusprin (100 mg),Tablet    ,1 Tablet,Aspirin-100 mg,10 Tablet,1.44,0.14
2,Lincoln Pharmaceuticals Ltd,Alpyrin (100 mg),Tablet    ,1 Tablet,Aspirin-100 mg,10 Tablet,6.07,0.61
3,Cipla Limited,Aspin (100 mg),Tablet    ,1 Tablet,Acetyl Salicylic Acid-100 mg,30 Tablet,21.15,0.71
4,Mano (Orchid Chemicals & Pharmaceuticals Ltd.),Manospirin (100 mg),Tablet    ,1 Tablet,Aspirin-100 mg,10 Tablet,9.9,0.99
5,Reckitt & Benckiser (India) Ltd.,Colsprin (100 mg),Tablet    ,1 Tablet,Aspirin-100 mg,14 Tablet,25.2,1.8
1,Shalina Laboratories Ltd,Aspirin (500 mg),Tablet    ,1 Tablet,Aspirin-500 mg,10 Tablet,4,0.4
2,Natco Pharma Ltd,Cotaspirin (500 mg),Tablet    ,1 Tablet,Aspirin-500 mg,30 Tablet,14.99,0.5
3,Natco Pharma Ltd,Otaspirin (500 mg),Tablet    ,1 Tablet,Aspirin-500 mg,30 Tablet,14.99,0.5
1,Unisearch (Unichem Laboratories),Loprin DS (162.5 mg),Tablet    ,1 Tablet,Aspirin-162.5 mg,14 Tablet,14.5,1.04
2,Ordain Health Care (P) Ltd.,OD Prin (162.5 mg),Tablet    ,1 Tablet,Aspirin-162.5 mg,14 Tablet,18.9,1.35
3,East West Pharma,GRA (162.5 mg),Tablet    ,1 Tablet,Aspirin-162.5 mg,14 Tablet,25.2,1.8
1,Shalina Laboratories Ltd,Aspirin (500 mg),Tablet    ,1 Tablet,Aspirin-500 mg,10 Tablet,4,0.4
2,Natco Pharma Ltd,Cotaspirin (500 mg),Tablet    ,1 Tablet,Aspirin-500 mg,30 Tablet,14.99,0.5
3,Natco Pharma Ltd,Otaspirin (500 mg),Tablet    ,1 Tablet,Aspirin-500 mg,30 Tablet,14.99,0.5
1,Cyper Pharma,Cipalgin (500 mg),Tablet    ,1 Tablet,Analgin-500 mg,10 Tablet,5.7,0.57
2,Sanofi Aventis,Baralgan M (500 mg),Tablet    ,1 Tablet,Dipyrone (Metamizol)-500 mg,10 Tablet,7.55,0.76
3,Sun Pharmaceutical Industries Ltd.,Metnimez (500 mg),Tablet    ,1 Tablet,Dipyrone (Metamizol)-500 mg,10 Tablet,25,2.5
4,SPM Drugs Pvt. Ltd.,Pyregin (15 gm),Injection    ,1 ml,Analgin-500 mg,30 ml,22,0.73
5,Oboi Laboratories (Ciron Drugs & Pharmaceuticals Pvt Ltd),Obralgin (15 gm),Injection    ,1 ml,Analgin-500 mg,30 ml,23,0.77
6,Wyeth Ltd.,Ultragin (15 gm),Injection    ,1 ml,Dipyrone (Metamizol)-500 mg,30 ml,24.08,0.8
7,SPM Drugs Pvt. Ltd.,Pyregin (2.5 gm),Injection    ,1 ml,Analgin-500 mg,5 ml,4.5,0.9
8,Tribhawan Injectables,Algin (15 gm),Injection    ,1 ml,Analgin-500 mg,30 ml,28.32,0.94
9,Sanofi Aventis,Baralgan M (1000 mg),Injection    ,1 ml,Dipyrone (Metamizol)-500 mg,2 ml,3.34,1.67
10,SPM Drugs Pvt. Ltd.,Pyregin (1 gm),Injection    ,1 ml,Analgin-500 mg,2 ml,3.5,1.75
11,Wyeth Ltd.,Ultragin (1000 mg),Injection    ,1 ml,Dipyrone (Metamizol)-500 mg,2 ml,3.55,1.78
12,Tribhawan Injectables,Algin (1 gm),Injection    ,1 ml,Analgin-500 mg,2 ml,4.52,2.26
13,Alpa Laboratories Ltd,Alpagin (500 mg),Injection    ,1 ml,Analgin-500 mg,1 ml,24,24
