Num,S/N,Manufacturer,Name,Type,Unit(Dose),Constituents/Unit,Package unit,Price(In Rs.),Price/Unit (In Rs.)
126,1,Unisearch (Unichem Laboratories),Loprin DS (162.5 mg),Tablet    ,1 Tablet,Aspirin-162.5 mg,14 Tablet,14.5,1.04
127,2,Ordain Health Care (P) Ltd.,OD Prin (162.5 mg),Tablet    ,1 Tablet,Aspirin-162.5 mg,14 Tablet,18.9,1.35
128,3,East West Pharma,GRA (162.5 mg),Tablet    ,1 Tablet,Aspirin-162.5 mg,14 Tablet,25.2,1.8
129,1,Shalina Laboratories Ltd,Aspirin (500 mg),Tablet    ,1 Tablet,Aspirin-500 mg,10 Tablet,4,0.4
130,2,Natco Pharma Ltd,Cotaspirin (500 mg),Tablet    ,1 Tablet,Aspirin-500 mg,30 Tablet,14.99,0.5
131,3,Natco Pharma Ltd,Otaspirin (500 mg),Tablet    ,1 Tablet,Aspirin-500 mg,30 Tablet,14.99,0.5
132,1,Solus (Ranbaxy Laboratories Ltd),Aspent (60 mg),Tablet    ,1 Tablet,Aspirin-60 mg,14 Tablet,9,0.64
133,1,Solus (Ranbaxy Laboratories Ltd),Aspent (60 mg),Tablet    ,1 Tablet,Aspirin-60 mg,14 Tablet,9,0.64
134,1,Astra Zeneca Pharma India Limited,Penglobe (200 mg),Tablet    ,1 Tablet,Bacampicillin-200 mg,6 Tablet,21.53,3.59
135,1,Astra Zeneca Pharma India Limited,Penglobe (400 mg),Tablet    ,1 Tablet,Bacampicillin-400 mg,6 Tablet,82.59,13.77
136,1,Wings Pharmaceuticals (P) Ltd.,Vit C (500 mg),Tablet    ,1 Tablet,Vit C-500 mg,10 Tablet,6,0.6
137,2,Wings Pharmaceuticals (P) Ltd.,Vitamin C (500 mg),Tablet    ,1 Tablet,Vit C-500 mg,10 Tablet,6,0.6
138,3,Glaxo Smithkline Pharmaceuticals Ltd.,Celin (500 mg),Tablet    ,1 Tablet,Vit C-500 mg,25 Tablet,17.45,0.7
139,4,Jan Aushadhi,Vitamin C Chewable 500 mg (Jan Aushadhi),Tablet    ,1 Tablet,Vit C-500 mg,10 Tablet,7.3,0.73
140,5,Abbott Healthcare Pvt Ltd (AHPL),Cell C (500 mg),Tablet    ,1 Tablet,Vit C-500 mg,10 Tablet,8.04,0.8
141,6,Abbott Healthcare Pvt Ltd (AHPL),Redoxon (500 mg),Tablet    ,1 Tablet,Vit C-500 mg,10 Tablet,8.16,0.82
142,7,Wyeth Ltd.,Chewcee (500 mg),Tablet    ,1 Tablet,Ascorbic Acid-500 mg,10 Tablet,10.36,1.04
143,8,Ind-Swift Limited,Swicee (500 mg),Tablet    ,1 Tablet,Ascorbic Acid-500 mg,10 Tablet,11.5,1.15
144,9,Glaxo Smithkline Pharmaceuticals Ltd.,Celin Chewable (500 mg),Tablet    ,1 Tablet,Vit C-500 mg,20 Tablet,23.72,1.19
145,10,Modern Laboratories,Ascorbic Acid (500 mg),Tablet    ,1 Tablet,Ascorbic Acid-500 mg,10 Tablet,12,1.2
146,11,East African (I) Remedies (P) Ltd.,Vitriv C (500 mg),Tablet    ,1 Tablet,Vit C-500 mg,10 Tablet,15,1.5
147,1,Acichem Laboratories,Dexamethasone (0.5 mg) (Acichem Labs),Tablet    ,1 Tablet,Dexamethasone-0.5 mg,1000 Tablet,100,0.1
148,2,Generic (Cadila Pharmaceuticals Ltd.),Dexamethasone (0.5 mg) (Generic),Tablet    ,1 Tablet,Dexamethasone-0.5 mg,200 Tablet,30.58,0.15
149,3,Sanjivani Parenteral Ltd,Dexamethasone (0.5 mg) (Sanjivani Parenteral),Tablet    ,1 Tablet,Dexamethasone-0.5 mg,1000 Tablet,153.84,0.15
150,4,Kentreck Labs Pvt Ltd.,Dexaken (0.5 mg),Tablet    ,1 Tablet,Dexamethasone-0.5 mg,10 Tablet,1.7,0.17
151,5,Jan Aushadhi,Dexamethasone 0.5 mg (Jan Aushadhi),Tablet    ,1 Tablet,Dexamethasone-0.5 mg,10 Tablet,1.86,0.19
152,6,Allied Chemicals & Pharmaceuticals Pvt.Ltd.,Dexalide (0.5 mg),Tablet    ,1 Tablet,Dexamethasone-0.5 mg,10 Tablet,1.94,0.19
153,7,Bini Laboratories Pvt Ltd,Dexamethasone (0.5 mg) (Bini Laboratories),Tablet    ,1 Tablet,Dexamethasone-0.5 mg,10 Tablet,2,0.2
154,8,Cipla Limited,Dexacip (0.5 mg),Tablet    ,1 Tablet,Dexamethasone-0.5 mg,100 Tablet,20.78,0.21
155,9,Merind Ltd (Wockhardt Ltd),Decdan (0.5 mg),Tablet    ,1 Tablet,Dexamethasone-0.5 mg,10 Tablet,2.08,0.21
156,10,Cadila Healthcare Ltd (Zydus Cadila Healthcare Ltd),Dexona (0.5 mg),Tablet    ,1 Tablet,Dexamethasone-0.5 mg,10 Tablet,2.14,0.21
157,11,Cadila Pharmaceuticals Ltd.,Dexasone (0.5 mg),Tablet    ,1 Tablet,Dexamethasone-0.5 mg,10 Tablet,2.15,0.22
158,12,Genvista (Cadila Pharmaceuticals Ltd.),Demisone (0.5 mg),Tablet    ,1 Tablet,Dexamethasone-0.5 mg,10 Tablet,2.15,0.22
159,13,Wyeth Ltd.,Wymesone (0.5 mg),Tablet    ,1 Tablet,Dexamethasone-0.5 mg,10 Tablet,2.18,0.22
160,14,Kentreck Labs Pvt Ltd.,Betaken (0.5 mg),Tablet    ,1 Tablet,Betamethasone-0.5 mg,10 Tablet,2.2,0.22
161,15,Baroda Pharma Pvt Ltd,Dexamine (0.5 mg),Tablet    ,1 Tablet,Dexamethasone-0.5 mg,200 Tablet,44.6,0.22
162,16,Indian Drugs & Pharmaceuticals Ltd.,Idizone (0.5 mg),Tablet    ,1 Tablet,Dexamethasone-0.5 mg,10 Tablet,2.39,0.24
163,17,Merind Ltd (Wockhardt Ltd),Decdakst (0.5 mg),Tablet    ,1 Tablet,Dexamethasone-0.5 mg,10 Tablet,2.82,0.28
164,18,Galpha Laboratories Ltd.,Decicort (0.5 mg),Tablet    ,1 Tablet,Dexamethasone Phosphate-0.5 mg,10 Tablet,3,0.3
165,19,Shalaks Pharmaceuticals Pvt. Ltd.,Dexamag (0.5 mg),Tablet    ,1 Tablet,Dexamethasone-0.5 mg,10 Tablet,3,0.3
166,20,East African (I) Remedies Pvt Ltd,Dexariv (0.5 mg),Tablet    ,1 Tablet,Dexamethasone-0.5 mg,100 Tablet,30,0.3
167,21,Merind Ltd (Wockhardt Ltd),Decdak ST (0.5 mg),Tablet    ,1 Tablet,Dexamethasone-0.5 mg,10 Tablet,3.15,0.32
168,22,Acron Pharmaceuticals,Dexacron (0.5 mg),Tablet    ,1 Tablet,Dexamethasone-0.5 mg,200 Tablet,65,0.33
169,23,Fulford (India) Ltd.,Celestone (0.5 mg),Tablet    ,1 Tablet,Betamethasone-0.5 mg,10 Tablet,3.27,0.33
170,24,Glaxo Smithkline Pharmaceuticals Ltd.,Betnesol (0.5 mg),Tablet    ,1 Tablet,Betamethasone-0.5 mg,20 Tablet,6.68,0.33
171,25,Cipla Limited,Betnecip (0.5 mg) (Oval Tab),Tablet    ,1 Tablet,Betamethasone-0.5 mg,10 Tablet,3.4,0.34
172,26,Cipla Limited,Betnecip (0.5 mg) (Round Tab),Tablet    ,1 Tablet,Betamethasone-0.5 mg,10 Tablet,3.4,0.34
173,27,Raddison Health Care Pvt Ltd,Catrisol (0.5 mg),Tablet    ,1 Tablet,Betamethasone-0.5 mg,1000 Tablet,350,0.35
174,28,Wallace Pharmaceuticals Ltd.,Walacort (0.5 mg),Tablet    ,1 Tablet,Betamethasone-0.5 mg,10 Tablet,3.55,0.36
175,29,Aronex Life Sciences Pvt. Ltd.,Betnecip (0.5 mg) (Aronex Life Science),Tablet    ,1 Tablet,Betamethasone-0.5 mg,10 Tablet,3.57,0.36
176,30,Ind-Swift Limited,Stemin (0.5 mg),Tablet    ,1 Tablet,Betamethasone-0.5 mg,10 Tablet,3.57,0.36
177,31,Cipla Limited,Betnecip (0.5 mg),Tablet    ,1 Tablet,Betamethasone-0.5 mg,10 Tablet,3.59,0.36
178,32,Medopharm,Betsone (0.5 mg),Tablet    ,1 Tablet,Betamethasone-0.5 mg,20 Tablet,7.18,0.36
179,33,Rax Health Care Pvt. Ltd.,Betarax (0.5 mg),Tablet    ,1 Tablet,Betamethasone-0.5 mg,10 Tablet,3.6,0.36
180,34,Innovative Pharmaceuticals,Betnedac (0.5 mg),Tablet    ,1 Tablet,Betamethasone Sodium Phosphate-0.5 mg ,10 Tablet,3.6,0.36
181,35,Sunij Pharma Pvt Ltd,Betanij (0.5 mg),Tablet    ,1 Tablet,Betamethasone-0.5 mg,10 Tablet,3.63,0.36
182,36,Bestochem Formulations (India) Ltd.,Betawin Forte (0.5 mg),Tablet    ,1 Tablet,Betamethasone-0.5 mg,10 Tablet,3.7,0.37
183,37,Cyper Pharma,Cypasol (0.5 mg),Tablet    ,1 Tablet,Betamethasone-0.5 mg,500 Tablet,190,0.38
184,38,Kentreck Labs Pvt Ltd.,Betastek (0.5 mg),Tablet    ,1 Tablet,Betamethasone-0.5 mg,10 Tablet,3.82,0.38
185,39,Zydus Cadila Healthcare Ltd,Dexona Forte (0.5 mg),Tablet    ,1 Tablet,Dexamethasone-0.5 mg,10 Tablet,3.82,0.38
186,40,Lupin Laboratories Ltd.,Solubet (0.5 mg),Tablet    ,1 Tablet,Betamethasone-0.5 mg,10 Tablet,3.88,0.39
187,41,Allied Chemicals & Pharmaceuticals Pvt.Ltd.,Betalide (0.5 mg),Tablet    ,1 Tablet,Betamethasone Sodium Phosphate-0.5 mg,10 Tablet,3.88,0.39
188,42,Cipla Limited,Betnecort (0.5 mg),Tablet    ,1 Tablet,Betamethasone-0.5 mg,10 Tablet,3.93,0.39
189,43,Glaxo Smithkline Pharmaceuticals Ltd.,Betnelan (0.5 mg),Tablet    ,1 Tablet,Betamethasone-0.5 mg,10 Tablet,3.96,0.4
